Prot;Acc;;;
ACK;Q07912;;;
ACVR1.ALK2;None;;;
ACVR2A;None;;;
AKT1;P31749;;;
AKT2;P31751;;;
AKT3;Q63484;;;
ALK;Q9UM73;;;
AMPKA1;Q13131;;;
AMPKA2;P54646;;;
ABL2;P42684;;;
AURKA;O14965;;;
AURKB;Q62388;ID is for mouse;;
AURKC;Q9UQB9;;;
AXL;P30530;;;
BMPR1A;P3894;;;
BMPR1B;O00238;;;
BMPR2;Q13873;;;
BMX;P51813;;;
PTK6;Q13882;;;
BRSK1;Q8TDC3;;;
BRSK2;Q8IWQ3;;;
BUB1;O43683;;;
BUB1B;O60566;;;
CAMK1A;Q14012;;;
CAMK1D;Q8IU85;;;
CAMK2A;Q9UQM7;;;
CAMK2B;P49840;;;
CAMK2D;Q13557;;;
CAMK2G;Q13555;;;
CAMK4;Q16566;;;
CAMKK1;Q8N5S9;;;
CAMKK2;Q96RR4;;;
CDC2-CCNB1;P06493;;;
CDC7-DBF4;O00311;;;
CDK1-CCNB1;P06493;;;
CDK2-CCNA2;P24941;;;
CDK2-CCNE1;P24941;;;
CDK3-CCNE1;Q00526;;;
CDK4-CCND3;Q13627;;;
CDK4-CCND1;P11802;;;
CDK5-CDK5R1p25;Q8IW41;;;
CDK5-CDK5R1p35;Q8IW41;;;
CDK6-CCND3;P50750;;;
CDK6-CCND1;Q00534;;;
CDK7-CCNH-MNAT1;P50613;;;
CDK8-CCNC;P49336;;;
CDK9-CCNK;Q00535;;;
CDK9-CCNT1;P50750;;;
CGK2;Q13237;;;
CHEK1;O14757;;;
CHEK2;O96017;;;
CSNK1A1.CK1A;Q9H2X6;;;
CSNK1D.CK1D;P48730;;;
CSNK1E.CK1E;P49674;;;
CSNK1G1;Q9HCP0;;;
CSNK1G2;P78368;;;
CSNK1G3;Q9Y6M4;;;
CSNK2A1.CK2A1;P68400;;;
CSNK2A2.CK2A2;P19784;;;
CLK1;P49759;;;
CLK2;P49760;;;
CLK3;P49761;;;
CLK4;Q9HAZ1;;;
MAP3K8.COT;P41279;;;
MATK.CTK;P42679;;;
DAPK1;P53355;;;
DCLK2;Q8N568;;;
DCLK1;O15075;;;
DDR2;Q16832;;;
DYRK1A;P28482;;;
DYRK1B;Q9Y463;;;
DYRK2;Q92630;;;
DYRK3;O43781;;;
DYRK4;Q9NR20;;;
EEF2K;O00418;;;
EGFR;P00533;;;
EIF2AK1;Q9BQI3;;;
EIF2AK4;Q9P2K8;;;
EPHA1;P21709;;;
EPHA2;P29317;;;
EPHA3;P29320;;;
EPHA4;P54764;;;
EPHA5;P54756;;;
EPHA6;Q9UF33;;;
EPHA7;Q15375;;;
EPHA8;P29322;;;
EPHB1;P54762;;;
EPHB2;P29323;;;
EPHB3;P54753;;;
EPHB4;P54760;;;
MAPK3.ERK1;P27361;;;
MAPK1.ERK2;P63085;;;
MAPK7.ERK5;Q13164;;;
PTK2.FAK;Q05397;;;
FER;P16591;;;
FES;P07332;;;
FGFR1;P11362;;;
FGFR2;P21802;;;
FGFR3;P22607;;;
FGFR4;P22455;;;
FGR;P09769;;;
FLT1;P17948;;;
FLT3;Q15118;;;
FLT4;P35916;;;
CSF1R.FMS;P07333;;;
FRK;P42685;;;
GRK7;Q8WTQ7;;;
GRK2;P25098;;;
GRK5;P34947;;;
GSK3A;P49840;;;
GSK3B;P49841;;;
HASPIN;Q8TF76;;;
HCK;P08631;;;
ERBB2;P04626;;;
ERBB4;Q15303;;;
MAP4K4.HGK;Q95819;;;
HIPK1;Q86Z02;;;
HIPK2;P25098;;;
HIPK3;Q9H422;;;
HIPK4;Q8NE63;;;
ICK;Q9UPZ9;;;
IGF1R;P08069;;;
CHUK.IKKA;O15111;;;
IKBKE.IKKE;Q14164;;;
INSR;P06213;;;
IRAK1;P51617;;;
IRAK4;Q9NWZ3;;;
INSRR;P14616;;;
ITK;Q08881;;;
JAK1;P23458;;;
JAK2;O60674;;;
JAK3;P52333;;;
MAPK8.JNK1;P45983;;;
MAPK9.JNK2;P45984;;;
MAPK10.JNK3;P53779;;;
KDR;P35968;;;
KIT;P10721;;;
LATS1;O95835;;;
LATS2;Q9NRM7;;;
LCK;P06239;;;
LIMK1;P53667;;;
STK11;Q15831;;;
STK10;O94804;;;
LRRK2;Q5S007;;;
LTK;P29376;;;
LYNA.LYN;P07948;;;
LYNB.LYN;P07948;;;
MAP2K1;Q02750;;;
MAP2K2;P36507;;;
MAP2K3;P46734;;;
MAP2K4;P45985;;;
MAP2K5;Q13163;;;
MAP2K6;P52564;;;
MAP2K7;O14733;;;
MAP3K1;Q13233;;;
MAP4K5.KHS1;Q9Y4K4;;;
MAP3K2;Q9Y2U5;;;
MAP3K3;Q99759;;;
MAP3K5;Q99683;;;
MAP4K2;Q12851;;;
MAPK15.ERK7;Q8TD08;;;
MAPKAPK2;P49137;;;
MAPKAPK3;Q16644;;;
MAPKAPK5;Q8IW41;;;
MARK1;Q9P0L2;;;
MARK2;O08679;;;
MARK3;P27448-3;;;
MARK4;Q96L34;;;
MAST2;Q6P0Q8;;;
MELK;Q14680;;;
MERTK.MER;Q12866;;;
MET;P08581;;;
NIM1K;Q8IY84;;;
MINK1;Q8N4C8;;;
MLCK;Q15746;;;
MAP3K9.MLK1;P80192;;;
MAP3K10.MLK2;Q02779;;;
MAP3K11.MLK3;Q16584;;;
MKNK2;Q9HBH9;;;
MOS;P00540;;;
CDC42BPB.MRCKB;Q9Y5S2;;;
RPS6KA5.MSK1;O75582;;;
RPS6KA4.MSK2;O75676;;;
SRPK3;Q9UPE1;;;
STK4;Q13043;;;
STK3;Q13188;;;
STK24;Q9Y6E0;;;
STK26;Q9P289;;;
MTOR;P42345;;;
MUSK;O15146;;;
STK38;Q91VJ4;!;;
STK38L;Q9Y2H1;;;
NEK1;Q96PY6;;;
NEK11;Q8NG66;;;
NEK2;P17252;;;
NEK4;P51957;;;
NEK6;Q9HC98;;;
NEK7;Q8TDX7;;;
NEK9;Q8TD19;;;
NLK;Q9UBE8;;;
NPM1:ALK;Q9UM73;;;
NUAK1;Q9UEE5;;;
NUAK2;Q9H093;;;
OXSR1;O95747;;;
MAPK11;Q15759;;;
MAPK13;O15264;;;
MAPK12;P53778;;;
MAPK14;Q16539;;;
RPS6KB1;P23443;;;
RPS6KB2;Q9UBS0;;;
PAK1;Q13153;;;
PAK2;Q13177;;; 
PAK3;O75914;;;
PAK4;O96013;;;
PAK5;Q9P286;;;
PAK6;Q9NQU5;;;
PASK;Q96RG2;;;
PBK;Q96KB5;;;
PDGFRA;P16234;;;
PDGFRB;P09619;;;
EIF2AK3;Q9NZJ5;;;
CDK14-CCND3;O94921;;;
PRKG1;Q13976;;;
PHKG1;Q16816;;;
PHKG2;P15735;;;
PIK3C3;Q8NEB9;;;
PIK3CG;P48736;;;
PIK3R5;QWYR1;;;
PIM1;P11309;;;
PIM2;Q9P1W9;;;
PIM3;Q86V86;;;
PRKACA;P17612;;;
PRKCB;P05771;;;
PRKCA;P17252;!;;
PRKCB1.PRKCB;P05771;;;
PRKCB2.PRKCB;P05771-2;;;
PRKCD.PKCD;Q05655;;;
PRKCE.PKCE;P00517;;;
PRKCG.PKCG;P45984;;;
PRKCH;P24723;;;
PRKCI;P41743;;;
PRKCQ;Q04759;;;
PRKCZ;Q05513;;;
PRKD1;Q15139;;;
PRKD2;Q9BZL6;;;
PRKD3;O94806;;;
PKN1;Q16512;;;
PKN2;Q16513;;;
PLK1;P53350;;;
PLK2;Q9NYY3;;;
PLK3;P51955;;;
PLK4;O00444;;;
PRKACG;P22612;;;
PRKX;P51817;;;
PTK2B;Q14289;;;
SIK2;Q9H0K1;;;
MOK;Q9UQ07;;;
RET;P07949;;;
GRK1;Q15835;;;
RIPK5;Q6XUX3;;;
ROCK1;Q13464;;;
ROCK2;O75116;;;
MST1R;Q04912;;;
ROS1;P08922;;;
RPS6KA1;Q15418;;;
RPS6KA3;P51812;;;
RPS6KA2;Q15349;;;
RPS6KA6;Q9UK32;;;
SGK1;Q9P0L2;;;
SGK2;Q9HBY8;;;
SGK3;Q96BR1;;;
SIK1;P57059;;;
MYLK2;Q9H1R3;;;
SPHK2;Q9NRA0;;;
SRMS;Q9H3Y6;;;
SRPK2;P78362;;;
STK16;O75716;;;
STK33;Q9BYT3;;;
STK39;Q9UEW8;;;
SYK;P43405;;;
MAP3K7;O43318;;;
TAOK1;Q7L7X3;;;
TAOK2;Q9UL54;;;
TAOK3;Q9H2K8;;;
TBK1;Q9UHD2;;;
TEC;P42680;;;
TESK1;Q15569;;;
TGFBR1;P36897;;;
TEK;Q02763;;;
TLK1;Q9UKI8;;;
TLK2;Q86UE8;;;
TNIK;Q9UKE5;;;
TNK1;Q13470;;;
NTRK1;P04629;;;
NTRK2;Q16620;;;
NTRK3;Q16288;;;
TSSK1;Q9BXA7;;;
TSSK2;Q96PF2;;;
TTBK1;Q5TCY1;;;
TXK;P42681;;;
TYK2;P29597;;;
TYRO3;Q06418;;;
ULK3;Q6PHR2;;;
VRK1;Q99986;;;
VRK2;Q99986;;;
WEE1;P41279;;;
WNK1;Q9H4A3;;;
WNK2;Q9Y3S1;;;
WNK3;Q9BYP7;;;
YES1;P07947;;;
STK25;O00506;;;
ZAK;Q9NYL2;;;
ZAP70;P43403;;;
